Feature,Importance
num__OverallQual,0.13393511
cat__BsmtQual_Ex,0.117006466
num__TotalSF,0.100979015
num__GarageCars,0.062090684
cat__KitchenQual_TA,0.02907873
num__TotalBathrooms,0.02779602
cat__FireplaceQu_None,0.027587077
cat__LandContour_Bnk,0.022473602
cat__ExterQual_TA,0.021042105
num__2ndFlrSF,0.016973078
cat__MSZoning_RM,0.01638562
cat__ExterQual_Ex,0.015126565
num__Fireplaces,0.01504281
num__KitchenAbvGr,0.013409829
cat__KitchenQual_Ex,0.013274367
num__YearRemodAdd,0.0123163825
num__YearBuilt,0.011366015
num__GrLivArea,0.010434629
cat__GarageFinish_Unf,0.009375459
cat__GarageQual_TA,0.009278082
cat__BsmtFinType1_GLQ,0.009098838
num__HouseAge,0.008638205
cat__GarageCond_TA,0.008157532
cat__CentralAir_N,0.00814393
num__OpenPorchSF,0.007697498
num__RemodAge,0.007459787
cat__Neighborhood_Edwards,0.0073709176
cat__CentralAir_Y,0.0073201135
cat__MSZoning_RL,0.0073055443
cat__GarageType_Attchd,0.007229065
cat__BldgType_1Fam,0.0070473007
num__BsmtFinSF1,0.006695108
cat__LotShape_IR1,0.006488199
cat__BsmtExposure_Gd,0.006401527
cat__BsmtExposure_No,0.0062810685
num__FullBath,0.005752748
cat__SaleType_New,0.0056416467
cat__LotShape_Reg,0.004985997
cat__Condition1_Norm,0.0046933116
cat__Neighborhood_Crawfor,0.0045716153
num__GarageYrBlt,0.0044489778
cat__Functional_Typ,0.004230481
cat__Functional_Min1,0.003975686
num__OverallCond,0.0037962196
num__LotArea,0.0037940326
num__GarageArea,0.0037387859
num__PoolArea,0.0033938733
cat__Exterior1st_BrkFace,0.0030591837
cat__LandSlope_Gtl,0.0030371414
num__TotalBsmtSF,0.0029186357
num__BedroomAbvGr,0.0029073774
cat__BsmtQual_Gd,0.0025638235
cat__GarageType_None,0.002494373
cat__GarageFinish_RFn,0.002437288
cat__Condition1_PosN,0.0024356192
num__1stFlrSF,0.00238433
num__LotFrontage,0.0023526296
cat__Neighborhood_StoneBr,0.0023320534
cat__SaleCondition_Abnorml,0.002301808
num__TotalPorchSF,0.002265584
cat__Functional_Maj1,0.002208461
cat__HeatingQC_Ex,0.0019968161
cat__SaleCondition_Partial,0.0019548174
num__MasVnrArea,0.0019459832
cat__RoofMatl_WdShngl,0.0019046403
cat__RoofMatl_CompShg,0.0018409669
num__BsmtFullBath,0.0018324933
cat__MSZoning_C (all),0.001829418
cat__Neighborhood_OldTown,0.0018231015
cat__Exterior2nd_Stucco,0.0017824394
cat__SaleCondition_Normal,0.0017800609
cat__Neighborhood_NoRidge,0.0017425872
cat__FireplaceQu_Gd,0.0017254236
cat__SaleType_WD,0.0016793814
num__ScreenPorch,0.0016195284
cat__ExterQual_Gd,0.0015279911
num__BsmtUnfSF,0.0015136047
cat__Condition1_Artery,0.0014699064
num__BsmtHalfBath,0.0014437846
cat__GarageFinish_Fin,0.0014212386
cat__SaleCondition_Family,0.0013635394
num__TotRmsAbvGrd,0.0013583014
cat__Foundation_CBlock,0.0013501938
cat__Exterior1st_MetalSd,0.0013224835
cat__LotConfig_CulDSac,0.0013141653
num__Id,0.0013063786
cat__MSZoning_FV,0.001275397
cat__Neighborhood_Somerst,0.0012406127
cat__Condition1_Feedr,0.0012248573
cat__Neighborhood_NridgHt,0.0011870872
cat__HouseStyle_1Story,0.0011781951
cat__Exterior1st_CemntBd,0.0011442505
cat__Exterior2nd_MetalSd,0.0010862278
cat__ExterCond_TA,0.0010828986
cat__BldgType_TwnhsE,0.0010762677
cat__Exterior2nd_Plywood,0.0010574715
cat__BsmtCond_Fa,0.0010572517
cat__LandContour_Low,0.0010511134
cat__Exterior2nd_VinylSd,0.0010217116
num__WoodDeckSF,0.001016681
num__HalfBath,0.0009724875
cat__LandContour_HLS,0.000967034
cat__FireplaceQu_TA,0.0009528091
cat__Neighborhood_CollgCr,0.00093855266
cat__Neighborhood_ClearCr,0.0009122806
cat__Neighborhood_BrkSide,0.00088259304
cat__LotShape_IR2,0.0008596604
cat__Exterior1st_Stucco,0.0008469547
cat__FireplaceQu_Ex,0.0008453213
cat__BsmtExposure_Av,0.0008215066
cat__Functional_Mod,0.0008180998
cat__Exterior1st_VinylSd,0.0008108496
num__MoSold,0.00080703216
num__YrSold,0.0008030976
cat__MasVnrType_None,0.0007988464
cat__Neighborhood_Timber,0.00079732336
cat__Exterior2nd_ImStucc,0.00079075905
num__EnclosedPorch,0.00078761054
num__MSSubClass,0.0007845146
cat__KitchenQual_Gd,0.00077352236
cat__HeatingQC_Fa,0.0007701384
cat__ExterCond_Gd,0.0007652633
cat__Exterior2nd_AsbShng,0.00075436296
cat__Neighborhood_NWAmes,0.00073375105
cat__MasVnrType_BrkFace,0.0007226994
cat__HouseStyle_2Story,0.0007170634
cat__LandSlope_Mod,0.00069981074
cat__FireplaceQu_Po,0.00069578004
cat__SaleCondition_Alloca,0.00069507275
cat__Exterior2nd_CmentBd,0.000663222
num__BsmtFinSF2,0.00066249946
cat__RoofStyle_Hip,0.00066003494
cat__LotConfig_Inside,0.0006594073
cat__SaleType_ConLD,0.0006584924
cat__Electrical_FuseA,0.00065130874
cat__Functional_Sev,0.0006496432
cat__HouseStyle_1.5Fin,0.00064870226
cat__MSZoning_RH,0.0006314697
cat__RoofStyle_Flat,0.00062912505
cat__Condition1_PosA,0.0006193481
cat__HeatingQC_Gd,0.0006111273
cat__LandContour_Lvl,0.0006054764
cat__HeatingQC_TA,0.00059854717
cat__Exterior2nd_Wd Sdng,0.00059494824
cat__BsmtFinType2_BLQ,0.00058745063
cat__Condition1_RRAe,0.0005818805
cat__Alley_Pave,0.0005804499
cat__HouseStyle_2.5Unf,0.00056771946
cat__PavedDrive_Y,0.00055615127
cat__BsmtFinType1_LwQ,0.00055180985
cat__Fence_None,0.00054936716
cat__GarageType_Detchd,0.0005436076
cat__RoofMatl_Tar&Grv,0.00054251397
cat__BsmtFinType1_Rec,0.0005250897
cat__Electrical_FuseF,0.0005187586
cat__LotConfig_FR2,0.00051381305
cat__BsmtFinType2_Unf,0.0005134145
cat__BsmtFinType1_ALQ,0.0005117652
cat__Exterior1st_AsbShng,0.000510763
cat__LotConfig_Corner,0.0005057377
cat__Neighborhood_Mitchel,0.0005027185
cat__Neighborhood_Blmngtn,0.00049489614
cat__BsmtQual_TA,0.00049271766
cat__BsmtCond_Gd,0.00049225846
cat__Foundation_Wood,0.0004877693
cat__RoofStyle_Gable,0.000482813
cat__GarageQual_Gd,0.00048265254
cat__GarageType_CarPort,0.00046908873
cat__HouseStyle_SLvl,0.00046223451
cat__Fence_GdPrv,0.00045815296
cat__BsmtCond_TA,0.0004506885
cat__FireplaceQu_Fa,0.00043962608
cat__Foundation_BrkTil,0.00043603664
cat__Exterior1st_Plywood,0.00042598534
cat__Exterior2nd_Wd Shng,0.0004246514
cat__Neighborhood_Sawyer,0.00042176168
cat__Electrical_SBrkr,0.00042091633
cat__ExterCond_Fa,0.0004207383
cat__LandSlope_Sev,0.0004110025
cat__PavedDrive_N,0.00040714367
cat__MasVnrType_BrkCmn,0.00039104663
cat__BsmtFinType2_GLQ,0.00038411657
cat__Neighborhood_NAmes,0.00037132864
cat__GarageType_Basment,0.00036869154
cat__BsmtFinType1_Unf,0.000360106
cat__GarageQual_Fa,0.00035650545
num__MiscVal,0.0003563241
cat__Alley_Grvl,0.00034973767
cat__Neighborhood_SWISU,0.00034594073
cat__SaleType_CWD,0.0003403781
num__3SsnPorch,0.00033340542
cat__LotShape_IR3,0.00033128215
cat__BsmtFinType2_ALQ,0.00032062866
cat__Exterior1st_HdBoard,0.0002969064
cat__MasVnrType_Stone,0.00029312004
cat__BldgType_Duplex,0.00029217426
cat__GarageCond_Fa,0.00029098356
